i,status,elapsed,snippet,docker_stats
0,200,0.04451251029968262,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.31%,282.8MiB / 2GiB"
1,200,0.009583473205566406,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.27%,283.3MiB / 2GiB"
2,200,0.0044040679931640625,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.23%,283.1MiB / 2GiB"
3,200,0.006983280181884766,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.24%,283.3MiB / 2GiB"
4,200,0.031260013580322266,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.29%,283.3MiB / 2GiB"
5,200,0.006824493408203125,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.29%,283MiB / 2GiB"
6,200,0.009223699569702148,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.25%,283MiB / 2GiB"
7,200,0.006729602813720703,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.24%,282.8MiB / 2GiB"
8,200,0.009412765502929688,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.25%,283MiB / 2GiB"
9,200,0.00722956657409668,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,2.96%,283.5MiB / 2GiB"
10,200,0.0069615840911865234,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.26%,282.8MiB / 2GiB"
11,200,0.005988121032714844,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.19%,283.3MiB / 2GiB"
12,200,0.0035026073455810547,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.27%,282.8MiB / 2GiB"
13,200,0.014210224151611328,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.24%,283.1MiB / 2GiB"
14,200,0.0067899227142333984,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.29%,283.3MiB / 2GiB"
15,200,0.03072071075439453,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.26%,282.8MiB / 2GiB"
16,200,0.028284788131713867,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.17%,282.8MiB / 2GiB"
17,200,0.007577657699584961,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.31%,282.8MiB / 2GiB"
18,200,0.06438732147216797,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.18%,283.1MiB / 2GiB"
19,200,0.007714748382568359,"{""status"":""ok"",""partial"":{""text"":""xin chao""},""detections"":[]}","vsg-ai-worker,0.25%,283.1MiB / 2GiB"
